latitude,longitude,acq_date,fire_occurred,temperature,humidity,wind_speed,precipitation,elevation,vpd
28.7693,83.9911,2022-06-03,0,0.64,78.04,2.11,1.37,5019.0,0.141
29.7446,80.8291,2022-07-31,0,19.73,90.08,1.58,2.06,2175.0,0.228
26.8863,81.9438,2022-03-12,0,22.53,48.02,2.47,0.0,101.0,1.419
26.3199,82.4532,2015-05-20,0,36.25,23.25,3.68,2.61,91.0,4.623
26.7221,85.9745,2020-09-10,0,,,,,78.0,
28.2739,87.3102,2019-09-14,0,6.21,80.02,2.34,0.76,5280.0,0.19
26.6975,84.3198,2022-06-15,0,36.59,45.09,2.65,0.62,78.0,3.369
28.38,80.3444,2014-10-02,0,27.45,65.88,0.84,0.0,187.0,1.249
29.6955,82.1237,2014-08-05,0,16.23,85.07,1.6,1.14,3156.0,0.275
28.6367,82.3178,2015-08-02,0,19.5,76.84,1.59,2.07,1330.0,0.525
29.9992,88.2516,2014-03-16,0,-4.34,40.41,2.19,0.0,5480.0,0.264
28.6356,86.0509,2014-01-17,0,-13.71,47.27,2.79,0.0,4754.0,0.112
30.3388,85.5046,2020-03-08,0,-15.2,67.69,4.52,0.03,5208.0,0.061
29.3572,80.7732,2016-08-05,0,21.06,80.29,1.42,5.57,909.0,0.492
29.676,80.5449,2013-07-08,0,19.62,92.34,1.83,16.93,931.0,0.175
26.5488,80.2854,2023-07-11,0,30.64,77.76,1.37,6.83,120.0,0.979
28.5111,81.7047,2021-10-24,0,18.32,82.56,1.29,2.21,597.0,0.367
27.0328,88.7587,2016-05-19,0,21.15,88.3,0.96,18.11,756.0,0.294
30.2833,86.0375,2020-02-04,0,-17.76,56.97,4.0,0.0,5002.0,0.065
27.7612,84.225,2017-09-27,0,22.18,91.26,1.67,0.29,1052.0,0.234
27.2266,88.0812,2024-01-13,0,12.26,50.57,1.04,0.0,2931.0,0.705
30.1746,80.9871,2014-09-29,0,2.78,84.19,1.41,1.01,4828.0,0.118
29.6587,87.2627,2017-01-10,0,-13.72,52.56,3.57,0.0,5497.0,0.1
26.8083,89.3532,2023-04-27,0,15.79,65.08,0.56,0.64,167.0,0.626
27.3484,87.8068,2019-11-16,0,10.15,67.03,1.47,0.0,2246.0,0.409
28.2662,89.3792,2021-10-27,0,-2.59,76.1,4.05,0.0,4430.0,0.121
29.4989,88.883,2012-06-01,0,10.85,47.75,3.27,0.19,5391.0,0.679
29.4239,86.8698,2020-10-30,0,-2.78,35.23,2.58,0.0,4542.0,0.322
29.4777,87.046,2013-02-12,0,-12.6,57.85,4.12,0.0,5176.0,0.098
29.643,88.2218,2023-05-03,0,0.92,50.2,3.91,0.06,4889.0,0.325
28.5563,82.1139,2017-03-14,0,14.48,32.69,1.74,0.0,1229.0,1.11
26.8363,81.3599,2017-12-25,0,14.97,48.37,1.54,0.0,117.0,0.879
28.9307,81.9553,2024-02-04,0,3.86,72.27,1.2,5.72,2007.0,0.223
27.7306,83.5709,2018-06-27,0,30.01,74.53,2.76,9.44,738.0,1.081
27.7041,81.0997,2012-06-16,0,39.76,15.08,4.06,0.0,126.0,6.184
27.7632,85.8993,2012-01-26,0,-0.26,39.61,1.56,0.0,1516.0,0.362
30.415,83.2688,2015-10-29,0,-8.27,65.46,2.04,2.75,4864.0,0.113
30.4952,86.7744,2018-10-05,0,-1.55,57.14,2.09,0.66,5100.0,0.234
27.0258,87.0321,2020-03-06,0,16.81,69.17,1.49,3.47,1900.0,0.59
27.2327,85.395,2019-07-10,0,27.89,85.69,3.07,24.93,371.0,0.537
26.8853,85.4847,2024-06-12,0,32.89,51.53,2.34,0.74,87.0,2.423
30.0285,81.9605,2013-11-16,0,-4.25,51.21,1.47,0.0,5303.0,0.217
27.8623,87.3708,2021-05-26,0,7.33,85.31,3.26,4.54,2979.0,0.151
29.7737,88.4081,2017-01-12,0,-17.96,52.29,3.43,0.0,4931.0,0.071
26.4394,83.0331,2022-05-11,0,35.09,39.68,2.0,1.57,79.0,3.409
28.2055,82.2673,2021-07-21,0,24.48,92.29,1.79,21.56,990.0,0.237
27.6915,86.83,2020-01-18,0,0.33,76.33,1.95,0.28,4664.0,0.148
30.4275,88.4011,2020-11-30,0,-9.42,62.43,3.88,0.0,5262.0,0.112
28.1778,84.5297,2014-06-11,0,26.67,50.11,1.66,4.39,1474.0,1.745
30.2752,83.2854,2020-06-22,0,2.61,76.53,2.78,1.69,5090.0,0.173
28.1442,82.8314,2017-03-14,0,14.77,33.66,1.96,0.0,1143.0,1.115
27.4412,87.6078,2015-11-12,0,8.26,72.62,1.24,0.0,1432.0,0.299
28.555,85.0,2024-10-06,0,4.9,81.0,1.4,2.31,4480.0,0.165
30.1797,89.1663,2018-01-02,0,-16.52,60.55,4.98,0.0,5210.0,0.066
28.0343,86.36,2023-10-09,0,6.59,82.05,1.76,0.2,4967.0,0.175
30.0922,80.6238,2013-06-15,0,11.45,86.52,2.49,3.47,2161.0,0.182
30.2614,84.0786,2022-12-31,0,-15.54,74.3,4.68,0.0,5571.0,0.047
28.7597,85.0457,2023-01-27,0,-10.94,49.13,2.74,0.0,5206.0,0.135
26.6253,83.2428,2023-03-15,0,26.01,32.49,1.69,0.0,82.0,2.271
27.4,81.2578,2017-05-09,0,32.38,43.39,3.67,17.29,117.0,2.75
28.8002,88.3213,2015-01-08,0,-11.49,59.79,2.0,0.84,5886.0,0.102
28.2164,85.9036,2014-08-15,0,12.57,95.91,2.14,24.51,4700.0,0.06
28.8836,85.3697,2021-03-13,0,-7.47,64.59,2.39,0.27,5089.0,0.123
28.5609,83.9024,2018-02-14,0,1.03,57.63,1.46,0.01,4871.0,0.279
29.7464,80.9303,2024-06-21,0,24.14,56.56,1.99,0.43,3916.0,1.307
27.4191,80.8281,2024-07-06,0,29.16,84.21,3.37,44.27,135.0,0.638
27.0879,85.0774,2020-02-18,0,17.12,51.27,1.7,0.0,115.0,0.951
28.4447,83.3115,2023-01-14,0,0.41,61.64,1.7,0.0,2103.0,0.241
26.8564,81.6055,2014-10-10,0,28.28,49.43,1.72,0.0,114.0,1.943
30.4019,85.4425,2024-11-09,0,-1.41,60.84,2.38,0.0,4990.0,0.216
29.0071,80.2737,2018-01-04,0,13.51,36.88,1.41,0.0,299.0,0.977
27.3417,82.6754,2012-06-03,0,38.52,18.42,3.97,0.21,96.0,5.558
28.2289,87.4759,2022-02-26,0,-7.25,76.39,1.95,0.09,5333.0,0.084
27.3642,83.373,2023-04-18,0,32.72,25.91,2.9,0.0,95.0,3.669
29.8706,85.3703,2019-12-02,0,-17.31,67.51,3.69,0.0,5698.0,0.051
26.8017,83.096,2024-11-23,0,18.32,72.07,0.98,0.0,81.0,0.588
27.001,88.1503,2014-10-31,0,17.48,77.39,0.88,0.0,1715.0,0.452
28.4442,81.1795,2019-10-06,0,24.88,76.73,1.03,0.02,154.0,0.732
27.0408,81.982,2024-01-28,0,14.73,46.14,1.01,0.0,102.0,0.903
30.1269,88.8036,2024-02-17,0,-9.1,45.24,3.82,0.01,4659.0,0.168
28.0302,82.5495,2021-02-17,0,17.37,30.06,1.62,0.02,1089.0,1.387
27.7232,83.851,2022-05-12,0,31.13,54.83,1.11,16.24,777.0,2.044
26.5461,88.988,2014-10-12,0,25.54,87.21,0.89,2.23,75.0,0.418
29.3235,86.6673,2022-03-31,0,-0.77,40.76,4.19,0.15,5267.0,0.342
26.8477,88.0544,2020-11-26,0,15.33,58.65,0.94,0.0,857.0,0.72
26.9276,87.2235,2017-03-30,0,23.74,50.05,1.65,0.37,364.0,1.467
26.9231,82.4582,2012-10-25,0,21.37,73.58,1.23,0.07,93.0,0.672
30.4182,87.2673,2017-05-13,0,0.98,59.29,2.32,1.27,5203.0,0.267
29.7532,88.402,2013-01-28,0,-13.67,35.12,3.31,0.0,4706.0,0.138
28.7682,82.5668,2020-03-08,0,0.19,61.7,1.63,0.0,2428.0,0.237
29.7908,84.2373,2019-06-05,0,1.23,69.08,3.31,0.22,4851.0,0.206
27.047,85.2264,2021-09-06,0,28.02,88.69,1.29,27.46,102.0,0.428
30.4189,85.448,2024-02-28,0,-9.18,53.12,6.02,0.0,5087.0,0.143
27.3644,81.505,2020-01-27,0,15.21,66.71,1.88,0.0,110.0,0.575
30.3706,80.9245,2015-04-12,0,-7.96,89.09,2.41,0.51,5213.0,0.037
28.2498,85.2611,2017-06-05,0,22.5,63.84,1.76,14.45,3598.0,0.986
26.8435,83.2012,2024-10-23,0,26.94,73.56,0.75,0.0,74.0,0.939
29.8245,82.4011,2020-07-17,0,6.54,85.92,2.87,1.46,5528.0,0.137
26.6055,82.5698,2013-03-19,0,24.99,39.63,2.93,0.0,85.0,1.911
30.4031,87.5427,2016-05-27,0,2.16,48.84,2.77,2.14,5623.0,0.365
28.5264,87.6713,2016-10-31,0,-3.1,58.32,1.97,0.0,4190.0,0.203
28.3812,85.1119,2016-09-17,0,7.48,90.59,1.83,13.72,5816.0,0.097
28.7828,81.1812,2019-08-13,0,25.04,80.46,1.59,1.67,437.0,0.62
27.6485,83.0044,2024-01-04,0,16.4,54.66,1.32,0.11,115.0,0.846
30.0853,81.7928,2016-04-12,0,1.91,57.6,2.3,0.0,4454.0,0.297
28.8404,83.8914,2013-09-29,0,0.62,86.27,1.86,2.93,4458.0,0.088
26.8062,87.1041,2013-07-13,0,25.13,82.82,1.44,2.76,108.0,0.548
29.9083,87.2132,2023-02-15,0,-9.72,38.88,4.12,0.0,5222.0,0.179
28.8878,87.7131,2018-12-14,0,-12.96,54.97,2.99,0.0,4735.0,0.101
30.1447,85.7407,2017-05-18,0,-0.94,60.34,3.08,2.86,5310.0,0.226
26.5818,80.5206,2013-07-04,0,29.57,78.67,3.43,0.01,128.0,0.883
28.9739,81.1169,2013-09-23,0,23.13,87.81,1.17,0.04,395.0,0.345
27.6845,88.3673,2017-06-02,0,9.35,85.43,2.3,5.7,4074.0,0.171
